"","Author","Year","Study","Project.Name","Type.of.Study","Duration.of.follow.up","Country.of.collection","Date.of.collection","Sample.Size_included..N..","N_PT","N_HC","Age_Total_mean","Age_Total_sd","Age_PT_mean","Age_PT_sd","Age_HC_mean","Age_HC_sd","Onset_Age_mean","Onset_Age_sd","N_Total_Male","N_Total_Female","N_PT_Male","N_PT_.Female","N_HC_Male","N_HC_.Female","Psychosis.Measure","Psychosis.Construct","Dimensional..Diagnostic.Outcome","Trauma.Measure","Trauma.Construct","with.total.trauma.info..Y.N.","HC.Status.Measure","LogOR","LogOR_LCI","LogOR_UCI","only_subgroup_analysis","Design","CT.VS.NO.CT","adjusted.age..Y.N.","adjusted.gender..Y.N.","QA_scores","QA_Rating","compution_effect_size","Country_level","sum_gender","Age_level","Male_ratio","Q_or_Int","Adj","vi","Trauma"
"279","Saha et al.","2011","The association between trauma and delusional-like experiences","SMHWB","Cross-sectional",NA,"Australia","2007",8773,"776",7997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIDI","DLE","Diagnostic","CIDI","CT, PA, SA, PL","Y","No delusion-like experiences",1.00063188030791,0.60431596685333,1.39376637595859,"N","Cross-sectional",NA,"Y","Y",8,"Good","OR",1,"#VALUE!",2,NA,2,"Adjusted",0.0405580974357342,"SA"
"280","van Nierop et al.","2014","Psychopathological Mechanisms Linking Childhood Traumatic Experiences to Risk of Psychotic Symptoms: Analysis of a Large, Representative Population-Based Sample","NEMESIS-I, NEMESIS-II","Cohort study",NA,"The Netherlands",NA,13722,"2359",11363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIDI, SCID-I","PEs","Diagnostic","NEMESIS survey(own)","CT, EN, PA, EA, SA, PL","Y",NA,0.198850858745165,0.104360015324243,0.285178942233663,"N","Cross-sectional",NA,"Y","Y",7,"Good","OR",1,"#VALUE!",NA,NA,NA,"Adjusted",0.0021277257086028,"SA"
"281","Yates et al.","2022","Sexual assault and psychosis in two large general population samples: Is childhood and adolescence a developmental window of sensitivity?","APMS (Adult Psychiatric Morbidity Survey studies) 2007 and 2014","Cross-sectional",NA,"UK","2007, 2014",14949,NA,NA,"51.7",18.7,NA,NA,NA,NA,NA,NA,6279,8670,NA,NA,NA,NA,"Psychosis Screening Questionnaire","delusional beliefs","Dimensional","Selection of items from the domestic violence and abuse survey","SA","N","no PLEs",0.966983846189673,0.819779831493311,1.11185751541813,"Y","Cross-sectional",NA,"Y","Y",7,"Good","OR",1,"14949",1,"0.420028096",NA,"Adjusted",0.00555168246608746,"SA"
"282","Convoy et al.","1995","Sexual Abuse Experiences of Psychiatric Patients",NA,"Case-control",NA,"Czech Republic",NA,200,"100",100,"39.25",11.09,"41.25","11.77","37.25","10.38",NA,NA,100,100,50,50,50,50,"DSM-III","SCZ, SCA","Diagnostic","Self-reported","SA","N",NA,0.432513020330237,-0.391036457183723,1.2560624978442,"N","Case-control",NA,"N","N",5,"Fair","OR",1,"200",1,"0.5",3,"Unadjusted",0.176549807870033,"SA"
"283","Modestin et al.","2007","Schizoidia in schizophrenia spectrum and personality disorders: Role of dissociation",NA,"Case-control",NA,"Switzerland",NA,85,"43",42,NA,NA,"30","9","35","10",NA,NA,46,39,25,18,21,21,"ICD-10","SSD","Diagnostic","Trauma Questionnaire","SA","N","no any previous psychiatric disorder",-0.0307716586667537,-1.03315986750209,0.971616550168587,"N","Case-control",NA,"N","N",7,"Good","OR",1,"85",1,"0.541176471",1,"Unadjusted",0.261553030303031,"SA"
"284","Rubino et al.","2009","Early adverse experiences in schizophrenia and unipolar depression",NA,"Case-control",NA,"Italy",NA,483,"173",310,"36.97",11.92,"36.2","11.2","37.4","12.3",NA,NA,246,237,111,62,135,175,"DSM-IV, SCID-I","SCZ","Diagnostic","AQ","CT, PA, EA, SA, PL, PS","Y","NR",0.999766454031477,-0.799234298515582,2.79876720657854,"N","Case-control",NA,"N","N",7,"Good","OR",1,"483",1,"0.50931677",1,"Unadjusted",0.842462439521263,"SA"
"285","Braehler et al.","2013","Childhood trauma and dissociation in first-episode psychosis, chronic schizophrenia and community controls",NA,"Case-control",NA,"Canada",NA,170,"104",66,"27.1",6.44,"26.59","5.66","27.9","7.4",NA,NA,115,55,77,27,38,28,"SCID, DSM-IV-TR","FEP, SCZ, PSYD, affective psychosis, delusional disorder","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","NR",0.510825623765991,-0.274087597277434,1.29573884480942,"N","Case-control",NA,"N","N",7,"Good","OR",1,"170",1,"0.676470588",1,"Unadjusted",0.16037296037296,"SA"
"286","Kumari et al.","2013","Reduced thalamic volume in men with antisocial personality disorder or schizophrenia and a history of serious violence and childhood abuse",NA,"Case-control",NA,"UK",NA,43,"28",15,NA,NA,"34.5","6.3","32.13","7.47","22.79",6.14,43,0,28,NA,15,NA,"DSM-IV, SCID","SCZ","Diagnostic","Register, Self-INT","CT, PA, SA, NG","Y","no history of a mental disorder or violence",0.0741079721537218,-2.41276835089772,2.56098429520516,"N","Case-control",NA,"N","N",7,"Fair","OR",1,"43",1,"1",3,"Unadjusted",1.60989010989011,"SA"
"287","芍lvarez et al.","2015","Cumulative Effects of Childhood Traumas: Polytraumatization, Dissociation, and Schizophrenia",NA,"Case-control",NA,"Spain","2011 - 2012",123,"45",78,NA,NA,"41.1 (95 % CI 38.3每43.9)",NA,"36.1 (95 % CI 33.3每38.9)",NA,NA,NA,59,64,25,20,34,44,"DSM-IV","SCZ, SAD","Diagnostic","CTQ-SF","PA, EA, SA, PN, EN","N","no report of any current or
previous mental disease and/or psychopharmacologic
treatment.",1.29928298413026,0.442519832703277,2.15604613555724,"N","Case-control",NA,"N","N",5,"Fair","OR",1,"123",1,"0.479674797",1,"Unadjusted",0.191077441077441,"SA"
"288","Barrig車n et al.","2015","Childhood trauma as a risk factor for psychosis: A sib-pair study",NA,"Case-control",NA,"Spain","2003-2009",120,"60",60,NA,NA,"31.1","8.1","32.3","10.6",NA,NA,48,68,27,31,21,37,"DSM-IV, SCID-I","SCZ, SAD, BDP, SPD","Diagnostic","semi-structured interview was designed by others","CT, EA, EN, PA, SA","Y","Free of psychotic symptoms",0.422856850820034,-1.4033316135286,2.24904531516867,"N","Case-control",NA,"N","N",7,"Good","OR",1,"116",1,"0.413793103",3,"Unadjusted",0.868118572292801,"SA"
"289","Green et al.","2015","Do common genotypes of FK506 binding protein 5 (FKBP6) moderate the effects of childhood maltreatment on cognition in schizophrenia and healthy controls?","ASRB","Case-control",NA,"Australia","2006-2010",1276,"617",659,"41.11",12.32,"39.65","10.82","42.48","13.58",NA,NA,706,570,415,202,291,368,"DSM-IV, ICD-10","SCZ, SAD","Diagnostic","CAQ","CT, PA, EA, EN, SA, PN","Y","No personal history of DSM-IV axis 1 disorder and psychotic disorder in first degree biological relatives",1.86667302112473,0.987147844351964,2.74619819789751,"N","Case-control",NA,"N","N",7,"Good","OR",1,"1276",1,"0.553291536",1,"Unadjusted",0.201365195902013,"SA"
"290","Jangam et al.","2015","Incidence of childhood abuse among women with psychiatric disorders compared with healthy women: Data from a tertiary care centre in India",NA,"Case-control",NA,"India","2013-2014",196,"96",100,"range 18-50",NA,NA,NA,NA,NA,NA,NA,0,196,0,96,0,100,"Clinian","SCZ","Diagnostic","ICAST-R","PA, EA, SA","N","without psychiatric disorder, and matched",0.67468511772021,-0.243576992043084,1.5929472274835,"N","Case-control",NA,"N","N",6,"Fair","OR",2,"196",1,"0",1,"Unadjusted",0.219493258597182,"SA"
"291","Trauelsen et al.","2015","Childhood adversity specificity and dose-response effect in non-affective first-episode psychosis","OPUS","Case-control",NA,"Denmark","2011-2014",202,"101",101,NA,NA,"22.5 (media)","18-34","22 (median)","18-33",NA,NA,150,52,75,26,75,26,"ICD-10","F20-29, except F21","Diagnostic","CTQ","CT, SA, PA, EA, PN, EN, PL, PS","Y","no any previous psychiatric disorder;gender, age and parental education matched with patients",2.02266502587775,0.922682435347833,3.12264761640767,"N","Case-control",NA,"Y","Y",5,"Fair","OR",1,"202",1,"0.742574257",1,"Unadjusted",0.314962958004195,"SA"
"292","Trotta et al.","2016","Interplay between Schizophrenia Polygenic Risk Score and Childhood Adversity in First-Presentation Psychotic Disorder: A Pilot Study","GAP study","Case-control",NA,"UK",NA,541,"285",256,NA,NA,"28.9","9.3","29.2","9.9",NA,NA,309,232,172,113,137,119,"ICD-10, SCAN","FEP","Diagnostic","CECA-Q","CT, PA, SA, PL","Y","PSQ",0.313544960190343,-0.199768731500917,0.826858651881602,"N","Case-control",NA,"N","N",6,"Good","OR",1,"541",1,"0.57116451",1,"Unadjusted",0.0685888551847432,"SA"
"293","Veling et al.","2016","Childhood trauma, psychosis liability and social stress reactivity: a virtual reality study","VRIPS","Case-Control",NA,"The Netherlands",NA,108,"55",53,"25.27",4.55,"25.95","4.68","24.57","4.41",NA,NA,67,41,42,13,25,28,"DSM-IV","Psychotic disorder","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y","a negative history of psychoticdisorder and did not have afirst degree family mem-ber diagnosed with a psychotic disorder.",1.64865862558738,-0.533227925788955,3.83054517696372,"N","Case-control",NA,"N","N",8,"Good","OR",1,"108",1,"0.62037037",1,"Unadjusted",1.23923076923077,"SA"
"294","Catalan et al.","2017","Relation between psychotic symptoms, parental care and childhood trauma in severe mental disorders",NA,"Case-control",NA,"Multiple countries","2009-2013",234,"61",173,NA,NA,"36.1","12.5","31.9","11.6",NA,NA,130,104,36,25,94,79,"DSM-IV-TR","FEP","Diagnostic","CTQ-SF","PA, EA, EN, SA, PN","N","did not have first每degree family members with a psychotic disorder.",1.32769057550213,-0.0214022163201133,2.67678336732438,"N","Case-control",NA,"N","N",8,"Good","OR",1,"234",1,"0.555555556",1,"Unadjusted",0.473774302620456,"SA"
"295","Lange et al.","2017","Modulation of HPA axis response to social stress in schizophrenia by childhood trauma",NA,NA,NA,"Switzerland","2013-2015",50,"25",25,"39.73",12.36,"38.3","13.5","41.16","11.1",NA,NA,34,16,18,7,16,9,"DSM-IV","SCZ, SAD","Diagnostic","CTQ","PA, EA, SA, PN, EN","N","Inclusion criteria for controls were absence of a psychiatric disorder, and of a family history of SSD  ( schizophrenia spectrum disorders).",0.505548566665147,-0.903631859569979,1.91472899290027,"N","Case-control",NA,"N","N",7,"Fair","OR",1,"50",1,"0.68",1,"Unadjusted",0.516917293233083,"SA"
"296","<U+010C>erny et al.","2018","Violence in persons with and without psychosis in the Czech Republic: risk and protective factors",NA,"Case-control",NA,"Czech Republic","2008 - 2009",316,"158",158,"39.92",14.14,"39.76","13.9","40.07","14.38",NA,NA,186,130,93,65,93,65,"MINI, ICD-10","SCZ, SAD, delusional disorder, acute polymorphic psychotic disorder","Diagnostic","CECA-Q","CT, PA, SA","Y","without current psychotic disorders",0.465258606131257,-0.139014187223318,1.06953139948583,"N","Case-control",NA,"N","N",5,"Fair","OR",1,"316",1,"0.588607595",1,"Unadjusted",0.0950503979562008,"SA"
"297","Bruni et al.","2018","Childhood adversities are different in Schizophrenic Spectrum Disorders, Bipolar Disorder and Major Depressive Disorder",NA,"Case-control",NA,"Italy","2015-2017",176,"91",85,"41.94",11.74,"38.8","11.2","45.3","12.3","23.55",6.91,95,81,55,36,40,45,"DSM-IV-TR (SCID-I)","SSD","Diagnostic","CECA-Q","CT, PA, EA, EN, SA, PN, PL, NG","Y","no lifetime presence of schizophrenia spectrum disorder or affective disorders",2.09141773272655,-0.0094910398484811,4.19232650530159,"N","Case-control",NA,"N","N",9,"Good","OR",1,"176",1,"0.539772727",1,"Unadjusted",1.14895295467585,"SA"
"298","Quid谷 et al.","2018","Schizotypal personality traits and social cognitionare associated with childhood trauma exposure","the Imaging Genetics in Psychosis (IGP) dataset","Case-control",NA,"Australia","2010-2016",154,"79",75,NA,NA,"42.52","11.11","36.13","11.53","22.96",6.82,86,68,45,34,41,34,"ICD-10","SCZ, SAD","Diagnostic","CTQ-25","CT, PA, EA, EN, SA, PN","Y","no mental illness history and no psychotic history",1.32377400413856,0.540692094237135,2.10685591403998,"N","Case-control",NA,"N","N",6,"Fair","OR",1,"154",1,"0.558441558",1,"Unadjusted",0.159625488758553,"SA"
"299","Xie et al.","2018","Prevalence of childhood trauma and correlations between childhood trauma, suicidal ideation, and social support in patients with depression, bipolar disorder, and schizophrenia in southern China",NA,"Case-control",NA,"China","2014 - 2015",348,"216",132,"27.89",7.09,"27.91","8.325","27.86","4.381",NA,NA,162,186,108,108,54,78,"ICD-10","SCZ","Diagnostic","CTQ -SF","CT, PA, EA, EN, SA, PN","Y","No history of psychiatric problems or substance abuse",1.19587559409332,0.290223186286622,2.10152800190001,"N","Case-control",NA,"Y","N",7,"Good","OR",2,"348",1,"0.465517241",1,"Unadjusted",0.213506425386834,"SA"
"300","Devi et al.","2019","The prevalence of childhood trauma in psychiatric outpatients",NA,"Case-control",NA,"Singapore","2015 - 2016",191,"91",100,NA,NA,"27.5","5.46","23.4","5.89",NA,NA,85,106,40,51,45,55,"Diagnozed","SCZ, PSYD","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y",NA,1.86042548991948,0.844414614318035,2.87643636552093,"N","Case-control",NA,"N","N",8,"Good","OR",1,"191",1,"0.445026178",1,"Unadjusted",0.26871045901198,"SA"
"301","Ayesa-Arriola et al.","2020","The synergetic effect of childhood trauma and recent stressful events in psychosis: associated neurocognitive dysfunction","PAFIP","Case-control",NA,"Spain","2001-2017",342,"290",52,NA,NA,"30.46","9.65","28.25","7.83","29.39",9.36,186,156,157,133,29,23,"DSM-IV","FEP","Diagnostic","CTES","CT, PA, SA, PL, PD","Y","no current or past history of psychiatric, neurological, or general medical illnesses",0.872757483998524,-1.1830396301549,2.92855459815194,"N","Case-control",NA,"N","N",9,"Good","OR",1,"342",1,"0.543859649",1,"Unadjusted",1.10014102836358,"SA"
"302","Dou et al.","2020","Research in childhood trauma,neurocognitive function and risk of schizophrenia",NA,"Case-control",NA,"China","2014-2018",287,"146",141,NA,NA,"22.06","7.21","23.33","3.33",NA,NA,126,161,70,76,56,85,"DSM-IV","SCZ","Diagnostic","CTQ","EA, SA, PA, PN, EN","N","No diagnosis of mental disorders",0.976135982579977,0.281263339325,1.67100862583495,"N","Case-control",NA,"N","N",8,"Good","OR",2,"287",1,"0.43902439",1,"Unadjusted",0.125689293613119,"SA"
"303","du Plessis et al.","2020","Childhood trauma and hippocampal subfield volumes in first-episode schizophrenia and healthy controls","EONKCS","Case-Control",NA,"South Africa","2007-2017",161,"79",82,"23",7,"25.3","7.32","25.2","6.93","25.3",7.2,105,56,58,21,47,35,"DSM-IV-TR, SCID-I","FEP","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y","No axis I or II diagnosis aor first degree relative with a known psychotic disorder, no substance dependence/abuse",-0.254780636257392,-0.891606404284668,0.382045131769883,"N","Case-control",NA,"N","N",8,"Good","OR",3,"161",1,"0.652173913",1,"Unadjusted",0.105567226890756,"SA"
"304","Prokopez et al.","2020","The history of multiple adverse childhood experiences in patients with schizophrenia is associated with more severe symptomatology and suicidal behavior with gender-specific characteristics",NA,"Cross-sectional",NA,"Argentina","2017-2018",150,"100",50,"44.55",12.8352,"45.82","12.68","42.02","13.14","23.5448 (pooled)",9.0266,69,81,50,50,19,31,"MINI","SCZ","Diagnostic","ACE-Q","CT, PA, EA, EN, SA, PN, PS","Y","no mental illness and no cognitive impariment",2.13249610463573,0.895107304780305,3.36988490449115,"N","Case-control",NA,"N","N",5,"Fair","OR",2,"150",1,"0.46",1,"Unadjusted",0.398565973034058,"SA"
"305","Chung et al.","2021","Network analysis of trauma in patients with early<U+2011>stage psychosis","KEPS","Case-control",NA,"South Korea",NA,702,"500",202,NA,NA,"28.89","8.54","35.48","11.98",NA,NA,290,412,193,307,97,105,"DSM-IV","FEP","Diagnostic","ETI","CT, PA, EA, SA, AB","Y","NR",1.25215097337223,0.201227443513302,2.30307450323115,"N","Case-control",NA,"N","N",8,"Good","OR",1,"702",1,"0.413105413",1,"Unadjusted",0.287494862976662,"SA"
"306","Mansueto & Faravelli","2022","Stressful life events and psychosis: Gender differences","PSI坼FIELDS (Part of the Factors in Early Life, Diagnoses, and Symptoms project)","Case-control",NA,"Italy",NA,234,"78",156,NA,NA,"43.07","10.9","43.08","13.08",NA,NA,102,132,34,44,68,88,"DSM-IV","SPD","Diagnostic","CECA-Q, A semi坼structured interview","CT, PA, SA, PL, NG","Y","general population from the same area and no cogitive impairment",2.42688280967162,0.882085226752581,3.97168039259066,"N","Case-control",NA,"N","N",8,"Good","OR",1,"234",1,"0.435897436",1,"Unadjusted",0.621199388846448,"SA"
"307","Mylona et al.","2022","Psychotic- like experiences (PLEs) and trauma in adolescents: the role of PLEs' persistence and distress in overall psychological burden",NA,"Case-control",NA,"Greece",NA,119,"71",48,NA,NA,"14.6","1.6","14.6","1.7",NA,NA,50,69,34,37,16,32,"CAPE","PLEs","Dimensional","institutionalized or no, trauma vs no trauma design","PA, SA","N","not in an institution, both groups no prior diagnosis of psychosis",1.81819272629621,0.292080112448553,3.34430534014387,"N","Case-control",NA,"N","N",6,"Fair","OR",1,"119",2,"0.420168067",3,"Unadjusted",0.606262939958592,"SA"
"308","Vila-Badia et al.","2022","Prevalence and types of childhood trauma in first episode psychosis patients. Relation with clinical onset variables","PROFEP study","Case-control",NA,"Spain",NA,194,"100",94,NA,NA,"23.51","8.15","24.31","8.37",NA,NA,122,72,70,30,52,42,"Clin","FEP","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","without mental diseases and no family history of the psychotic spectrum",0.924895579067674,0.0448464886074321,1.80494466952791,"N","Case-control",NA,"N","N",8,"Good","OR",1,"194",1,"0.628865979",1,"Unadjusted",0.201605164936458,"SA"
"309","Aas et al.","2023","Retrospectively assessed childhood trauma experiences are associated with illness severity in mental disorders adjusted for symptom state","TOP study","Case-control",NA,"Norway","2007 - 2016",908,"461",447,"30.3",8.51,"29.5","9.4","31.1","7.6","23.4",8.1,566,342,283,178,283,164,"DSM-IV","SCZ","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","No history of mental health disorder or 1st degree relative with mental health disorders",2.20137534596199,1.52933722257478,2.8734134693492,"N","Case-control",NA,"Y","Y",10,"Good","OR",1,"908",1,"0.623348018",1,"Unadjusted",0.117564358414672,"SA"
"310","Beasley et al.","2021","Childhood Maltreatment and Psychosis: A Comparative Validity Study of Maltreatment Indices","LONGSCAN","Cohort study","14 years","USA","1991-2012",629,"153",476,"Range : 8-14",NA,NA,NA,NA,NA,NA,NA,314,315,NA,NA,NA,NA,"DISC-IV","PSYS","Diagnostic","Self-Report, NS (AMPS), Register","CT, PA, EA, SA, NG","Y",NA,0.624816374004059,0.192495770362011,1.05713697764611,"N","Cohort study",NA,"N","Y",9,"Good","OR",1,"629",2,"0.499205087",3,"Unadjusted",0.0486518909655936,"SA"
"311","Ross & Joshi","1992","Schneiderian symptoms and childhood trauma in the general population",NA,"Cross-sectional",NA,"USA",NA,502,NA,NA,"45.2",16.5,"37.3","16.2","47","16.5",NA,NA,184,318,9,26,142,255,"DDIS, interview","Schneiderian Symptoms","Dimensional","DDIS","CT, PA, SA","Y","Schneiderian Symptoms lower than 3",1.72011758956953,0.811959342397876,2.62827583674118,"N","Cross-sectional",NA,"N","N",6,"Fair","OR",1,"502",1,"0.366533865",1,"Unadjusted",0.214689556930936,"SA"
"312","Houston et al.","2008","Childhood sexual abuse, early cannabis use, and psychosis: Testing an interaction model based on the national comorbidity survey","NCS","Cross-sectional",NA,"USA","1990 -1992",5877,"42",5832,"32.02",10.59,NA,NA,NA,NA,NA,NA,2827,3050,NA,NA,NA,NA,"CIDI, SCID, DSM-III-R","Psychosis","Diagnostic","CIDI","SA","N",NA,1.68428294008461,1.00721072815718,2.36135515201204,"Y","Cross-sectional",NA,"N","N",6,"Fair","OR",1,"5877",1,"0.481027735",2,"Unadjusted",0.119332252229358,"SA"
"313","Freeman & Fowler","2009","Routes to psychotic symptoms: Trauma, anxiety and psychosis-like experiences",NA,"Cross-sectional",NA,"UK",NA,200,NA,NA,"37.5",13.3,NA,NA,NA,NA,NA,NA,100,100,NA,NA,NA,NA,"GPTS-B","PI","Dimensional","Life Stressor Checklist","PA, SA","N","lower PLE",1.66566997141392,0.14901088818027,3.18232905464757,"N","Cross-sectional",NA,"N","N",7,"Good","OR",1,"200",1,"0.5",1,"Unadjusted",0.598775191262789,"SA"
"314","Barker-Collo & Read","2011","The roles of gender and coping styles in the relationship between child abuse and the SCL-90-R subscales 'Psychoticism' and 'Paranoid Ideation'",NA,"Cross-sectional",NA,"New Zealand",NA,338,"79",259,"37.2",17.11,NA,NA,NA,NA,NA,NA,91,247,29,50,62,197,"SCL-90-R","Psychoticism","Dimensional","Self-DQ","CT, PA, SA, AB","Y","Low score on the SCL-90-R",2.23267132633197,1.56875239248204,2.89659026018189,"N","Cross-sectional",NA,"N","N",5,"Fair","OR",1,"338",1,"0.269230769",3,"Unadjusted",0.11474082432435,"SA"
"315","McGrath et al.","2017","The association between childhood adversities and subsequent first onset of psychotic experiences: a cross-national analysis of 23,998 respondents from 17 countries","the WHO World Mental Health (WMH) surveys","Cross-sectional",NA,"Multiple countries",NA,23998,"1661",22337,"18-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIDI-Psychosis module","Hallucination, delusion","Diagnostic","CIDI","CT, PA, SA, PL, PD, NG","Y",NA,1.61964929583089,1.38094495205283,1.85835363960894,"N","Cross-sectional",NA,"N","N",5,"Fair","OR",1,"#VALUE!",1,NA,NA,"Unadjusted",0.0148323000152309,"SA"
"316","<U+015E>ahin et al.","2013","The history of childhood trauma among individuals with ultra high risk for psychosis is as common as among patients with first-episode schizophrenia","Psychotic Disorder Research Program (Istanbul Faculty of Medicine)","Case control",NA,"Turkey",NA,152,"83",69,NA,NA,"23.1",NA,"23.9",NA,NA,NA,89,63,60,23,29,40,"DSM-IV","FES","Diagnostic","CTQ","CT, PA, EA, EN,  SA, PN","Y","no psychiatric disorder diagnosis and no psychotic disorder diagnosed first-degree relatives",0.878633198363113,0.29110484826059,1.46616154846564,"N","Case-control",NA,"N","N",5,"Fair","Mean_SD",2,"152",1,"0.585526316",1,"Unadjusted",0.0898556752848276,"SA"
"317","Pietrek et al.","2013","Childhood adversities in relation to psychiatric disorders",NA,"Case-control",NA,"Germany",NA,118,"33",85,NA,NA,"33","9.2","38.3","14.1",NA,NA,54,64,22,11,32,53,"ICD-10","SCZ","Diagnostic","ETI","PA, SA, EA, PN","N","No current or life-time mental disorders; use of psychoactive medication and neurologicaldisorder in the past",0.633696450000484,-0.0999273283033464,1.36732022830431,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",1,"118",1,"0.457627119",1,"Unadjusted",0.140098877575174,"SA"
"318","Sayin et al.","2013","Effects of the Adverse Life Events and Disrupted in Schizophrenia-1 (DISC1) Gene Polymorphisms on Acute Symptoms of Schizophrenia",NA,"Case control",NA,"Turkey",NA,200,"100",100,NA,NA,"36.48","11.27","32.45","11.82",NA,NA,114,86,53,47,61,39,"DSM-IV","SCZ","Diagnostic","CTQ","CT, PA, EA, SA, PN, EN","Y","no current psychiatric disorder and no psychotic disorder diagnosed first-degree relatives",0.177872841580295,-0.325188791802501,0.680934474963091,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",2,"200",1,"0.57",1,"Unadjusted",0.0658764595433587,"SA"
"319","Sheffield et al.","2013","Childhood sexual abuse increases risk of auditory hallucinationsin psychotic disorders",NA,"Case-control",NA,"USA",NA,195,"114",81,NA,NA,"37.3","12.59","34","11.81",NA,NA,99,96,58,56,41,40,"DSM-IV-TR, SCID","Psychotic disorder","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","No history of psychiatric illness or treatment with psychotropic medication",1.64626707381095,1.1044294534848,2.18810469413709,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",1,"195",1,"0.507692308",1,"Unadjusted",0.0764233670347509,"SA"
"320","Zhao et al.","2013","The relationship between the childhood traumaㄛdream threat level and dysfunctional attitudes in schizophrenia patients",NA,"Case-control",NA,"China","2010-2011",134,"62",72,NA,NA,"30.73","7.86","29.01","8.97",NA,NA,64,70,30,32,34,38,"CCMD-3","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",1.57679865118989,0.932580853446856,2.22101644893292,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"134",1,"0.47761194",1,"Unadjusted",0.108032218588318,"SA"
"321","DeRosse et al.","2014","The relation between childhood maltreatment and psychosis in patientswith schizophrenia and non-psychiatric controls",NA,"Case-control",NA,"USA",NA,631,"184",447,NA,NA,"40.98","11.07","41.06","17.06",NA,NA,299,332,127,57,172,275,"DSM-IV","SCZ, SAD","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","No axis I affective or psychotic disorder diagnosis, no history of substance abuse or brain disorder",1.42999020729997,1.10876573378571,1.75121468081423,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",1,"631",1,"0.47385103",1,"Unadjusted",0.0268599443941367,"SA"
"322","Liang et al.","2014","Correlation between childhood trauma experience and eye emotion recognition in schizophrenia",NA,"Case-control",NA,"China","2012-2014",120,"60",60,NA,NA,"32.6","12.3","31.4","11.3",NA,NA,70,50,34,26,36,24,"CCMD-3","SCZ","Diagnostic","Adapted CTQ-25","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",1.68348760744914,1.00037446649708,2.36660074840121,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"120",1,"0.583333333",1,"Unadjusted",0.12147114830836,"SA"
"323","Ma et al.","2014","The relationship between anhedonia and childhood trauma in schizophrenic patients",NA,"Case-control",NA,"China","2012-2013",469,"198",271,NA,NA,"31.5","9.61","31.82","10.14",NA,NA,230,239,101,97,129,142,"CCMD-3","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",0.67279374928748,0.337652081775836,1.00793541679913,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"469",1,"0.490405117",1,"Unadjusted",0.0292378012553326,"SA"
"324","Michail & Birchwood","2014","Social anxiety in first-episode psychosis: The role of childhood trauma and adult attachment",NA,"Case-control",NA,"UK",NA,104,"80",24,NA,NA,"24.1","4.657","24.2","5",NA,NA,64,40,53,27,11,13,"ICD-10","FEP","Diagnostic","CTQ","EA, EN, PA, PN, SA","N","No psychiatric disorders",0.461714893364972,-0.368053132170092,1.29148291890003,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",1,"104",1,"0.615384615",1,"Unadjusted",0.179226097511547,"SA"
"325","Yang et al.","2014","Correlation study among childhood traumaㄛdysfunctional attitude and alexithymia of schizophrenics patients and their first坼degree relatives.",NA,"Case-control",NA,"China","2013",100,"52",48,NA,NA,"33.81","8.66","32.75","10.07",NA,NA,52,48,28,24,24,24,"CCMD-3","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",1.88539546565667,1.12735626209891,2.64343466921443,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"100",1,"0.52",1,"Unadjusted",0.149579194640381,"SA"
